model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
user_mean,default,random,mean_popularity,20.0,110.66406926406927,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,popularity_percentile,20.0,0.7975760427276971,924,0,20260903,20260904T070002,1788485449
user_mean,default,random,gini,20.0,0.9861992773505327,924,0,20260903,20260904T070002,1788485449
item_mean,default,random,rmse,,1.031010948136218,940,20000,20260903,20260904T070002,1788485450
item_mean,default,random,mae,,0.8242666590477871,940,20000,20260903,20260904T070002,1788485450
item_mean,default,random,precision_at_k,5.0,0.07965367965367964,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,recall_at_k,5.0,0.0336095741964878,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,coverage,5.0,0.011022657685241886,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,mean_popularity,5.0,187.73701298701297,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,popularity_percentile,5.0,0.9311163101604278,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,gini,5.0,0.9958324386370927,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,precision_at_k,10.0,0.07077922077922079,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,recall_at_k,10.0,0.05604933406707041,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,coverage,10.0,0.019595835884874464,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,mean_popularity,10.0,163.3357142857143,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,popularity_percentile,10.0,0.9073004864824719,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,gini,10.0,0.992293020308942,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,precision_at_k,20.0,0.06233766233766234,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,recall_at_k,20.0,0.09722732649877959,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,coverage,20.0,0.032455603184323334,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,mean_popularity,20.0,157.0766233766234,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,popularity_percentile,20.0,0.9095888971118751,924,0,20260903,20260904T070002,1788485450
item_mean,default,random,gini,20.0,0.9848852005312507,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,rmse,,1.1263815837649769,940,20000,20260903,20260904T070002,1788485450
most_popular,default,random,mae,,0.9451687585714286,940,20000,20260903,20260904T070002,1788485450
most_popular,default,random,precision_at_k,5.0,0.1318181818181818,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,recall_at_k,5.0,0.07831492859065128,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,coverage,5.0,0.017146356399265157,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,mean_popularity,5.0,343.04588744588744,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,popularity_percentile,5.0,0.9975071089041678,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,gini,5.0,0.9944929126802978,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,precision_at_k,10.0,0.12272727272727273,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,recall_at_k,10.0,0.1294509747249744,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,coverage,10.0,0.026331904470300063,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,mean_popularity,10.0,313.02835497835497,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,popularity_percentile,10.0,0.9950685293056618,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,gini,10.0,0.9898004628561885,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,precision_at_k,20.0,0.10075757575757578,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,recall_at_k,20.0,0.19712217655644051,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,coverage,20.0,0.04409063074096754,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,mean_popularity,20.0,276.0524350649351,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,popularity_percentile,20.0,0.9905575914077752,924,0,20260903,20260904T070002,1788485450
most_popular,default,random,gini,20.0,0.9812357677023935,924,0,20260903,20260904T070002,1788485450
content,default,random,rmse,,1.0240255443217363,940,20000,20260903,20260904T070002,1788485452
content,default,random,mae,,0.8193008370558157,940,20000,20260903,20260904T070002,1788485452
content,default,random,precision_at_k,5.0,0.027705627705627706,924,0,20260903,20260904T070002,1788485452
content,default,random,recall_at_k,5.0,0.010268516070923397,924,0,20260903,20260904T070002,1788485452
content,default,random,coverage,5.0,0.3251684017146356,924,0,20260903,20260904T070002,1788485452
content,default,random,mean_popularity,5.0,68.03333333333333,924,0,20260903,20260904T070002,1788485452
content,default,random,popularity_percentile,5.0,0.6382394056107291,924,0,20260903,20260904T070002,1788485452
content,default,random,gini,5.0,0.8748504200433166,924,0,20260903,20260904T070002,1788485452
content,default,random,precision_at_k,10.0,0.02554112554112554,924,0,20260903,20260904T070002,1788485452
content,default,random,recall_at_k,10.0,0.01872208103229044,924,0,20260903,20260904T070002,1788485452
content,default,random,coverage,10.0,0.43845682792406615,924,0,20260903,20260904T070002,1788485452
content,default,random,mean_popularity,10.0,64.0435064935065,924,0,20260903,20260904T070002,1788485452
content,default,random,popularity_percentile,10.0,0.6213388480392156,924,0,20260903,20260904T070002,1788485452
content,default,random,gini,10.0,0.8411141420326969,924,0,20260903,20260904T070002,1788485452
content,default,random,precision_at_k,20.0,0.025270562770562773,924,0,20260903,20260904T070002,1788485452
content,default,random,recall_at_k,20.0,0.03554267952717621,924,0,20260903,20260904T070002,1788485452
